f7:59:44:27:91:29, undefined, -90
f7:59:44:27:91:29, undefined, -86
f7:59:44:27:91:29, undefined, -85
f7:59:44:27:91:29, pr-3fe7, -85
f7:59:44:27:91:29, pr-3fe7, -86
f7:59:44:27:91:29, pr-3fe7, -86
f7:59:44:27:91:29, pr-3fe7, -86
f7:59:44:27:91:29, pr-3fe7, -84
f7:59:44:27:91:29, pr-3fe7, -87
f7:59:44:27:91:29, pr-3fe7, -88
f7:59:44:27:91:29, pr-3fe7, -89
f7:59:44:27:91:29, pr-3fe7, -88
f7:59:44:27:91:29, pr-3fe7, -87
f7:59:44:27:91:29, pr-3fe7, -89
f7:59:44:27:91:29, pr-3fe7, -86
f7:59:44:27:91:29, pr-3fe7, -88
f7:59:44:27:91:29, pr-3fe7, -86
fd:cf:70:bd:72:d0, undefined, -88
fd:cf:70:bd:72:d0, undefined, -87
fd:cf:70:bd:72:d0, undefined, -87
fd:cf:70:bd:72:d0, undefined, -89
fd:cf:70:bd:72:d0, pr-3fe7, -88
fd:cf:70:bd:72:d0, pr-3fe7, -86
fd:cf:70:bd:72:d0, pr-3fe7, -86
fd:cf:70:bd:72:d0, pr-3fe7, -87
fd:cf:70:bd:72:d0, pr-3fe7, -87
fd:cf:70:bd:72:d0, pr-3fe7, -87
fd:cf:70:bd:72:d0, pr-3fe7, -86
fd:cf:70:bd:72:d0, pr-3fe7, -88
fd:cf:70:bd:72:d0, pr-3fe7, -88
fd:cf:70:bd:72:d0, pr-3fe7, -88
fd:cf:70:bd:72:d0, pr-3fe7, -88
fd:cf:70:bd:72:d0, pr-3fe7, -86
fd:cf:70:bd:72:d0, pr-3fe7, -86
fd:cf:70:bd:72:d0, pr-3fe7, -88
fd:cf:70:bd:72:d0, pr-3fe7, -88
fd:cf:70:bd:72:d0, pr-3fe7, -88
fd:cf:70:bd:72:d0, pr-3fe7, -88
fd:cf:70:bd:72:d0, pr-3fe7, -87
fd:cf:70:bd:72:d0, pr-3fe7, -87
fd:cf:70:bd:72:d0, pr-3fe7, -88
fd:cf:70:bd:72:d0, pr-3fe7, -87
fd:cf:70:bd:72:d0, pr-3fe7, -88
fd:cf:70:bd:72:d0, pr-3fe7, -87
Mon Jun 29 2020 19:39:29 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -84
Mon Jun 29 2020 19:39:30 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -84
Mon Jun 29 2020 19:39:30 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -86
Mon Jun 29 2020 19:39:30 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -84
Mon Jun 29 2020 19:39:30 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -86
Mon Jun 29 2020 19:39:31 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -84
Mon Jun 29 2020 19:39:31 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -85
Mon Jun 29 2020 19:39:32 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -85
Mon Jun 29 2020 19:39:32 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -84
Mon Jun 29 2020 19:39:33 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -84
Mon Jun 29 2020 19:39:33 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -84
Mon Jun 29 2020 19:39:33 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -84
Mon Jun 29 2020 19:39:34 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -85
Mon Jun 29 2020 19:39:35 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -84
Mon Jun 29 2020 19:39:36 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -85
Mon Jun 29 2020 19:39:36 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -86
Mon Jun 29 2020 19:39:37 GMT+0000 (Coordinated Universal Time), f0:eb:32:89:9a:aa, pr-3fe7, -84
