2020-06-29T20:40:52.720Z, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:40:53.008Z, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T20:40:53.459Z, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T20:40:53.619Z, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T20:40:53.771Z, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T20:40:54.077Z, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:40:54.235Z, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:40:54.400Z, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T20:40:54.560Z, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T20:40:54.712Z, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:40:55.179Z, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T20:40:55.641Z, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:40:55.953Z, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:40:56.292Z, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:40:56.432Z, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:40:56.738Z, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T20:40:56.900Z, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:40:57.055Z, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T20:40:57.220Z, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T20:40:57.693Z, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:40:58.171Z, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:40:58.326Z, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:40:58.476Z, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:40:58.638Z, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T20:40:58.960Z, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:40:59.102Z, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:40:59.262Z, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T20:40:59.579Z, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:40:59.796Z, ea:39:da:f1:99:98, pr-3fe7, -77
