2020-06-29T20:42:41.790Z, 1593463361790, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T20:42:42.098Z, 1593463362098, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:42.253Z, 1593463362253, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:42:42.403Z, 1593463362403, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:42:42.716Z, 1593463362716, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:42.878Z, 1593463362878, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:43.174Z, 1593463363174, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:42:43.653Z, 1593463363653, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:43.858Z, 1593463363858, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:42:44.020Z, 1593463364020, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T20:42:44.138Z, 1593463364138, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:44.297Z, 1593463364297, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:42:44.617Z, 1593463364617, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:44.937Z, 1593463364937, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:45.117Z, 1593463365117, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T20:42:45.256Z, 1593463365256, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T20:42:45.567Z, 1593463365567, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T20:42:46.046Z, 1593463366046, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T20:42:46.214Z, 1593463366214, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T20:42:47.303Z, 1593463367303, ea:39:da:f1:99:98, pr-3fe7, -77
