2020-06-29T19:48:58.464Z, f0:eb:32:89:9a:aa, undefined, -88
2020-06-29T19:48:58.761Z, f0:eb:32:89:9a:aa, undefined, -85
2020-06-29T19:48:58.801Z, f0:eb:32:89:9a:aa, pr-3fe7, -84
2020-06-29T19:49:00.656Z, f0:eb:32:89:9a:aa, pr-3fe7, -85
2020-06-29T19:49:00.810Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:01.136Z, f0:eb:32:89:9a:aa, pr-3fe7, -78
2020-06-29T19:49:01.293Z, f0:eb:32:89:9a:aa, pr-3fe7, -78
2020-06-29T19:49:01.610Z, f0:eb:32:89:9a:aa, pr-3fe7, -81
2020-06-29T19:49:01.928Z, f0:eb:32:89:9a:aa, pr-3fe7, -77
2020-06-29T19:49:02.383Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:02.864Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:49:03.027Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:03.347Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:49:03.504Z, f0:eb:32:89:9a:aa, pr-3fe7, -77
2020-06-29T19:49:04.002Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:04.140Z, f0:eb:32:89:9a:aa, pr-3fe7, -77
2020-06-29T19:49:04.463Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:49:04.614Z, f0:eb:32:89:9a:aa, pr-3fe7, -77
2020-06-29T19:49:05.093Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:49:05.706Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:49:06.183Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:49:06.348Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:49:06.502Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:06.822Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:49:06.986Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:07.608Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:07.935Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:49:08.093Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:08.560Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:49:08.721Z, f0:eb:32:89:9a:aa, pr-3fe7, -77
2020-06-29T19:49:09.193Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:49:09.972Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:10.322Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:49:10.451Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:49:10.616Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:49:11.286Z, f0:eb:32:89:9a:aa, pr-3fe7, -78
2020-06-29T19:49:11.715Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
