2020-06-29T21:20:11.212Z, 1593465611212, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:20:11.392Z, 1593465611392, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:20:11.492Z, 1593465611492, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:20:11.801Z, 1593465611801, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:20:11.957Z, 1593465611957, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:20:12.270Z, 1593465612270, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:20:12.433Z, 1593465612433, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:20:12.743Z, 1593465612743, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:20:12.912Z, 1593465612912, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:20:13.060Z, 1593465613060, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:20:13.216Z, 1593465613216, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:20:13.544Z, 1593465613544, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:20:13.794Z, 1593465613794, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:20:14.004Z, 1593465614004, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:20:14.168Z, 1593465614168, ea:39:da:f1:99:98, pr-3fe7, -73
2020-06-29T21:20:14.479Z, 1593465614479, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:20:14.940Z, 1593465614940, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:20:15.115Z, 1593465615115, ea:39:da:f1:99:98, pr-3fe7, -69
2020-06-29T21:20:15.263Z, 1593465615263, ea:39:da:f1:99:98, pr-3fe7, -69
2020-06-29T21:20:15.422Z, 1593465615422, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:20:15.576Z, 1593465615576, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:20:15.732Z, 1593465615732, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:20:16.227Z, 1593465616227, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:20:16.361Z, 1593465616361, ea:39:da:f1:99:98, pr-3fe7, -73
2020-06-29T21:20:16.503Z, 1593465616503, ea:39:da:f1:99:98, pr-3fe7, -69
2020-06-29T21:20:16.678Z, 1593465616678, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:20:16.834Z, 1593465616834, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:20:16.993Z, 1593465616993, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:20:17.148Z, 1593465617148, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:20:17.308Z, 1593465617308, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:20:17.464Z, 1593465617464, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:20:17.626Z, 1593465617626, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:20:17.782Z, 1593465617782, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:20:17.925Z, 1593465617925, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:20:18.100Z, 1593465618100, ea:39:da:f1:99:98, pr-3fe7, -52
2020-06-29T21:20:18.247Z, 1593465618247, ea:39:da:f1:99:98, pr-3fe7, -52
2020-06-29T21:20:18.408Z, 1593465618408, ea:39:da:f1:99:98, pr-3fe7, -54
2020-06-29T21:20:18.698Z, 1593465618698, ea:39:da:f1:99:98, pr-3fe7, -53
2020-06-29T21:20:18.915Z, 1593465618915, ea:39:da:f1:99:98, pr-3fe7, -54
2020-06-29T21:20:19.042Z, 1593465619042, ea:39:da:f1:99:98, pr-3fe7, -55
2020-06-29T21:20:19.196Z, 1593465619196, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:20:19.502Z, 1593465619502, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:20:19.659Z, 1593465619659, ea:39:da:f1:99:98, pr-3fe7, -70
2020-06-29T21:20:19.806Z, 1593465619806, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:20:19.966Z, 1593465619966, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:20:20.287Z, 1593465620287, ea:39:da:f1:99:98, pr-3fe7, -57
2020-06-29T21:20:20.434Z, 1593465620434, ea:39:da:f1:99:98, pr-3fe7, -56
2020-06-29T21:20:20.605Z, 1593465620605, ea:39:da:f1:99:98, pr-3fe7, -55
2020-06-29T21:20:20.751Z, 1593465620751, ea:39:da:f1:99:98, pr-3fe7, -52
2020-06-29T21:20:20.907Z, 1593465620907, ea:39:da:f1:99:98, pr-3fe7, -53
2020-06-29T21:20:21.065Z, 1593465621065, ea:39:da:f1:99:98, pr-3fe7, -72
2020-06-29T21:20:21.228Z, 1593465621228, ea:39:da:f1:99:98, pr-3fe7, -54
2020-06-29T21:20:21.382Z, 1593465621382, ea:39:da:f1:99:98, pr-3fe7, -55
2020-06-29T21:20:21.538Z, 1593465621538, ea:39:da:f1:99:98, pr-3fe7, -55
2020-06-29T21:20:21.842Z, 1593465621842, ea:39:da:f1:99:98, pr-3fe7, -50
2020-06-29T21:20:22.002Z, 1593465622002, ea:39:da:f1:99:98, pr-3fe7, -55
2020-06-29T21:20:22.155Z, 1593465622155, ea:39:da:f1:99:98, pr-3fe7, -52
2020-06-29T21:20:22.355Z, 1593465622355, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:20:22.616Z, 1593465622616, ea:39:da:f1:99:98, pr-3fe7, -50
2020-06-29T21:20:22.779Z, 1593465622779, ea:39:da:f1:99:98, pr-3fe7, -47
2020-06-29T21:20:22.931Z, 1593465622931, ea:39:da:f1:99:98, pr-3fe7, -53
2020-06-29T21:20:23.250Z, 1593465623250, ea:39:da:f1:99:98, pr-3fe7, -53
2020-06-29T21:20:23.406Z, 1593465623406, ea:39:da:f1:99:98, pr-3fe7, -50
2020-06-29T21:20:23.577Z, 1593465623577, ea:39:da:f1:99:98, pr-3fe7, -48
2020-06-29T21:20:23.887Z, 1593465623887, ea:39:da:f1:99:98, pr-3fe7, -46
2020-06-29T21:20:24.043Z, 1593465624043, ea:39:da:f1:99:98, pr-3fe7, -47
2020-06-29T21:20:24.202Z, 1593465624202, ea:39:da:f1:99:98, pr-3fe7, -45
2020-06-29T21:20:24.355Z, 1593465624355, ea:39:da:f1:99:98, pr-3fe7, -46
2020-06-29T21:20:24.515Z, 1593465624515, ea:39:da:f1:99:98, pr-3fe7, -43
2020-06-29T21:20:24.672Z, 1593465624672, ea:39:da:f1:99:98, pr-3fe7, -42
2020-06-29T21:20:24.823Z, 1593465624823, ea:39:da:f1:99:98, pr-3fe7, -42
2020-06-29T21:20:25.077Z, 1593465625077, ea:39:da:f1:99:98, pr-3fe7, -43
2020-06-29T21:20:25.234Z, 1593465625234, ea:39:da:f1:99:98, pr-3fe7, -43
2020-06-29T21:20:25.327Z, 1593465625327, ea:39:da:f1:99:98, pr-3fe7, -48
2020-06-29T21:20:25.446Z, 1593465625446, ea:39:da:f1:99:98, pr-3fe7, -47
2020-06-29T21:20:25.603Z, 1593465625603, ea:39:da:f1:99:98, pr-3fe7, -47
2020-06-29T21:20:25.767Z, 1593465625767, ea:39:da:f1:99:98, pr-3fe7, -45
2020-06-29T21:20:25.930Z, 1593465625930, ea:39:da:f1:99:98, pr-3fe7, -43
2020-06-29T21:20:26.083Z, 1593465626083, ea:39:da:f1:99:98, pr-3fe7, -45
