2020-06-29T21:18:36.142Z, 1593465516142, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:36.302Z, 1593465516302, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:36.439Z, 1593465516439, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:36.749Z, 1593465516749, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:36.896Z, 1593465516896, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:37.208Z, 1593465517208, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:37.361Z, 1593465517361, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:37.541Z, 1593465517541, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:37.700Z, 1593465517700, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:38.039Z, 1593465518039, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:38.165Z, 1593465518165, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:38.319Z, 1593465518319, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:38.489Z, 1593465518489, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:38.813Z, 1593465518813, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:38.962Z, 1593465518962, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:39.116Z, 1593465519116, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:39.283Z, 1593465519283, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:39.590Z, 1593465519590, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:39.745Z, 1593465519745, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:18:39.911Z, 1593465519911, ea:39:da:f1:99:98, pr-3fe7, -69
2020-06-29T21:18:40.217Z, 1593465520217, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:40.525Z, 1593465520525, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:40.684Z, 1593465520684, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:18:40.829Z, 1593465520829, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:18:41.001Z, 1593465521001, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:41.169Z, 1593465521169, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:41.305Z, 1593465521305, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:41.473Z, 1593465521473, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:41.624Z, 1593465521624, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:41.778Z, 1593465521778, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:41.930Z, 1593465521930, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:18:42.106Z, 1593465522106, ea:39:da:f1:99:98, pr-3fe7, -70
2020-06-29T21:18:42.275Z, 1593465522275, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:42.415Z, 1593465522415, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:42.580Z, 1593465522580, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:42.734Z, 1593465522734, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:42.892Z, 1593465522892, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:18:43.049Z, 1593465523049, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:43.209Z, 1593465523209, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:43.500Z, 1593465523500, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:43.649Z, 1593465523649, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:43.746Z, 1593465523746, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:43.826Z, 1593465523826, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:44.142Z, 1593465524142, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:44.292Z, 1593465524292, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:44.459Z, 1593465524459, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:44.772Z, 1593465524772, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:44.925Z, 1593465524925, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:45.080Z, 1593465525080, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:45.242Z, 1593465525242, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:45.563Z, 1593465525563, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:45.706Z, 1593465525706, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:45.874Z, 1593465525874, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:46.184Z, 1593465526184, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:46.346Z, 1593465526346, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:46.491Z, 1593465526491, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:46.656Z, 1593465526656, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:46.805Z, 1593465526805, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:46.975Z, 1593465526975, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:47.127Z, 1593465527127, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:47.287Z, 1593465527287, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:47.441Z, 1593465527441, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:47.756Z, 1593465527756, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:47.907Z, 1593465527907, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:18:48.231Z, 1593465528231, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:18:48.391Z, 1593465528391, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:48.545Z, 1593465528545, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:48.701Z, 1593465528701, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:48.857Z, 1593465528857, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:49.014Z, 1593465529014, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:49.650Z, 1593465529650, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:49.798Z, 1593465529798, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:50.118Z, 1593465530118, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:50.276Z, 1593465530276, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:50.438Z, 1593465530438, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:50.745Z, 1593465530745, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:18:50.902Z, 1593465530902, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:18:51.062Z, 1593465531062, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:51.551Z, 1593465531551, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:51.685Z, 1593465531685, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:51.866Z, 1593465531866, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:18:52.161Z, 1593465532161, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:52.318Z, 1593465532318, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:52.478Z, 1593465532478, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:52.631Z, 1593465532631, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:52.787Z, 1593465532787, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:52.978Z, 1593465532978, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:53.154Z, 1593465533154, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:53.267Z, 1593465533267, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:53.433Z, 1593465533433, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:53.802Z, 1593465533802, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:53.916Z, 1593465533916, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:54.058Z, 1593465534058, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:54.239Z, 1593465534239, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:54.424Z, 1593465534424, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:54.623Z, 1593465534623, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:54.827Z, 1593465534827, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:54.948Z, 1593465534948, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:55.032Z, 1593465535032, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:55.166Z, 1593465535166, ea:39:da:f1:99:98, pr-3fe7, -58
2020-06-29T21:18:55.476Z, 1593465535476, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:18:55.620Z, 1593465535620, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:56.104Z, 1593465536104, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:56.415Z, 1593465536415, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:18:56.594Z, 1593465536594, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:56.758Z, 1593465536758, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:18:56.915Z, 1593465536915, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:57.069Z, 1593465537069, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:57.232Z, 1593465537232, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:57.390Z, 1593465537390, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:57.680Z, 1593465537680, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:57.840Z, 1593465537840, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:57.998Z, 1593465537998, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:58.156Z, 1593465538156, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:58.318Z, 1593465538318, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:58.477Z, 1593465538477, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:18:58.637Z, 1593465538637, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:58.811Z, 1593465538811, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:18:58.853Z, 1593465538853, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:18:58.944Z, 1593465538944, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:18:59.279Z, 1593465539279, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:18:59.433Z, 1593465539433, ea:39:da:f1:99:98, pr-3fe7, -62
