2020-06-29T21:03:56.234Z, 1593464636234, ea:39:da:f1:99:98, undefined, -87
2020-06-29T21:03:56.389Z, 1593464636389, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T21:03:56.830Z, 1593464636830, ea:39:da:f1:99:98, pr-3fe7, -81
2020-06-29T21:03:59.973Z, 1593464639973, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:00.470Z, 1593464640470, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:00.946Z, 1593464640946, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:01.099Z, 1593464641099, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:01.251Z, 1593464641251, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:01.866Z, 1593464641866, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:02.794Z, 1593464642794, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:03.467Z, 1593464643467, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:03.903Z, 1593464643903, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:04.063Z, 1593464644063, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:05.461Z, 1593464645461, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:05.795Z, 1593464645795, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:07.060Z, 1593464647060, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T21:04:07.368Z, 1593464647368, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:07.763Z, 1593464647763, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T21:04:08.024Z, 1593464648024, ea:39:da:f1:99:98, pr-3fe7, -87
2020-06-29T21:04:08.334Z, 1593464648334, ea:39:da:f1:99:98, pr-3fe7, -81
2020-06-29T21:04:08.489Z, 1593464648489, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T21:04:09.112Z, 1593464649112, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:10.058Z, 1593464650058, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:04:10.248Z, 1593464650248, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:04:10.529Z, 1593464650529, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:04:10.693Z, 1593464650693, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:04:10.856Z, 1593464650856, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:04:11.192Z, 1593464651192, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:11.480Z, 1593464651480, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:11.640Z, 1593464651640, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:13.361Z, 1593464653361, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:13.531Z, 1593464653531, ea:39:da:f1:99:98, pr-3fe7, -86
2020-06-29T21:04:13.841Z, 1593464653841, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:04:14.004Z, 1593464654004, ea:39:da:f1:99:98, pr-3fe7, -75
2020-06-29T21:04:14.176Z, 1593464654176, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:14.313Z, 1593464654313, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:14.628Z, 1593464654628, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T21:04:14.939Z, 1593464654939, ea:39:da:f1:99:98, pr-3fe7, -86
2020-06-29T21:04:15.093Z, 1593464655093, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:15.411Z, 1593464655411, ea:39:da:f1:99:98, pr-3fe7, -74
2020-06-29T21:04:15.570Z, 1593464655570, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:04:15.879Z, 1593464655879, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:04:16.230Z, 1593464656230, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:16.406Z, 1593464656406, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:16.516Z, 1593464656516, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:04:16.672Z, 1593464656672, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T21:04:16.831Z, 1593464656831, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:04:16.987Z, 1593464656987, ea:39:da:f1:99:98, pr-3fe7, -72
2020-06-29T21:04:17.146Z, 1593464657146, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:17.300Z, 1593464657300, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:04:17.477Z, 1593464657477, ea:39:da:f1:99:98, pr-3fe7, -70
2020-06-29T21:04:17.772Z, 1593464657772, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:17.932Z, 1593464657932, ea:39:da:f1:99:98, pr-3fe7, -75
2020-06-29T21:04:18.245Z, 1593464658245, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:04:18.407Z, 1593464658407, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:18.872Z, 1593464658872, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T21:04:19.027Z, 1593464659027, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:19.517Z, 1593464659517, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T21:04:19.669Z, 1593464659669, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:19.826Z, 1593464659826, ea:39:da:f1:99:98, pr-3fe7, -71
2020-06-29T21:04:19.994Z, 1593464659994, ea:39:da:f1:99:98, pr-3fe7, -75
2020-06-29T21:04:20.149Z, 1593464660149, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:04:20.314Z, 1593464660314, ea:39:da:f1:99:98, pr-3fe7, -73
2020-06-29T21:04:20.464Z, 1593464660464, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:20.780Z, 1593464660780, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:21.093Z, 1593464661093, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:04:21.405Z, 1593464661405, ea:39:da:f1:99:98, pr-3fe7, -73
2020-06-29T21:04:21.577Z, 1593464661577, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:21.886Z, 1593464661886, ea:39:da:f1:99:98, pr-3fe7, -73
2020-06-29T21:04:22.288Z, 1593464662288, ea:39:da:f1:99:98, pr-3fe7, -81
2020-06-29T21:04:22.830Z, 1593464662830, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:24.893Z, 1593464664893, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T21:04:25.660Z, 1593464665660, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:25.993Z, 1593464665993, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:04:26.198Z, 1593464666198, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:04:26.466Z, 1593464666466, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:27.088Z, 1593464667088, ea:39:da:f1:99:98, pr-3fe7, -87
2020-06-29T21:04:27.252Z, 1593464667252, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:27.422Z, 1593464667422, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:04:27.867Z, 1593464667867, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T21:04:28.821Z, 1593464668821, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:29.501Z, 1593464669501, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:33.529Z, 1593464673529, ea:39:da:f1:99:98, pr-3fe7, -86
