2020-06-29T21:07:30.398Z, 1593464850398, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:30.537Z, 1593464850537, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:30.681Z, 1593464850681, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:30.993Z, 1593464850993, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:31.149Z, 1593464851149, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:31.314Z, 1593464851314, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:31.476Z, 1593464851476, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:31.650Z, 1593464851650, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:31.787Z, 1593464851787, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:31.944Z, 1593464851944, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:32.111Z, 1593464852111, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:32.418Z, 1593464852418, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:33.047Z, 1593464853047, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:33.199Z, 1593464853199, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:33.360Z, 1593464853360, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:33.521Z, 1593464853521, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:33.693Z, 1593464853693, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:33.846Z, 1593464853846, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:33.998Z, 1593464853998, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:34.158Z, 1593464854158, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:34.323Z, 1593464854323, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:07:34.473Z, 1593464854473, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:34.626Z, 1593464854626, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:34.937Z, 1593464854937, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:35.413Z, 1593464855413, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:35.570Z, 1593464855570, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:35.716Z, 1593464855716, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:35.881Z, 1593464855881, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:36.192Z, 1593464856192, ea:39:da:f1:99:98, pr-3fe7, -64
